Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
88	:	1614997149.688	     2.505	0	4283	0	0	./pipeline1.sh /project/projectdirs/dasrepo/jpathak/iamr_expts/kolmogorov/data/timestep_0_1/truth21377
78	:	1614997149.660	     2.542	0	4548	0	0	./pipeline1.sh /project/projectdirs/dasrepo/jpathak/iamr_expts/kolmogorov/data/timestep_0_1/truth21235
99	:	1614997149.938	     2.265	0	4284	0	0	./pipeline1.sh /project/projectdirs/dasrepo/jpathak/iamr_expts/kolmogorov/data/timestep_0_1/truth21524
74	:	1614997149.648	     2.558	0	4812	0	0	./pipeline1.sh /project/projectdirs/dasrepo/jpathak/iamr_expts/kolmogorov/data/timestep_0_1/truth21169
92	:	1614997149.702	     2.512	0	4285	0	0	./pipeline1.sh /project/projectdirs/dasrepo/jpathak/iamr_expts/kolmogorov/data/timestep_0_1/truth21430
71	:	1614997149.596	     2.627	0	4808	0	0	./pipeline1.sh /project/projectdirs/dasrepo/jpathak/iamr_expts/kolmogorov/data/timestep_0_1/truth21117
72	:	1614997149.633	     2.601	0	4809	0	0	./pipeline1.sh /project/projectdirs/dasrepo/jpathak/iamr_expts/kolmogorov/data/timestep_0_1/truth21135
75	:	1614997149.651	     2.805	0	4809	0	0	./pipeline1.sh /project/projectdirs/dasrepo/jpathak/iamr_expts/kolmogorov/data/timestep_0_1/truth21186
55	:	1614997149.086	     3.381	0	4551	0	0	./pipeline1.sh /project/projectdirs/dasrepo/jpathak/iamr_expts/kolmogorov/data/timestep_0_1/truth20864
101	:	1614997151.076	     2.125	0	4286	0	0	./pipeline1.sh /project/projectdirs/dasrepo/jpathak/iamr_expts/kolmogorov/data/timestep_0_1/truth21551
106	:	1614997151.646	     1.738	0	4286	0	0	./pipeline1.sh /project/projectdirs/dasrepo/jpathak/iamr_expts/kolmogorov/data/timestep_0_1/truth21615
102	:	1614997151.260	     2.453	0	4284	0	0	./pipeline1.sh /project/projectdirs/dasrepo/jpathak/iamr_expts/kolmogorov/data/timestep_0_1/truth21564
